segment,cluster_id,category,avg_raw_traffic
A0A1,0,High Flow Level,0.5144849785407726
A0B0,0,High Flow Level,0.5287017167381974
A1A0,0,High Flow Level,0.6030042918454935
A1A2,0,High Flow Level,0.7046673819742489
A1B1,2,Low Flow Level,2.104345493562232
A2A1,0,High Flow Level,0.720225321888412
A2A3,0,High Flow Level,0.6620171673819742
A2B2,2,Low Flow Level,2.2011802575107295
A3A2,0,High Flow Level,0.7054721030042919
A3B3,0,High Flow Level,0.6094420600858369
B0A0,0,High Flow Level,0.5346030042918455
B0B1,1,Medium Flow Level,2.1593347639484977
B0C0,0,High Flow Level,0.6783798283261803
B1A1,0,High Flow Level,1.0179721030042919
B1B0,0,High Flow Level,1.113197424892704
B1B2,1,Medium Flow Level,2.4796137339055795
B1C1,2,Low Flow Level,2.8430793991416308
B2A2,0,High Flow Level,1.060354077253219
B2B1,1,Medium Flow Level,2.987392703862661
B2B3,0,High Flow Level,1.074302575107296
B2C2,2,Low Flow Level,2.5045600858369097
B3A3,0,High Flow Level,0.6714055793991416
B3B2,1,Medium Flow Level,1.796942060085837
B3C3,0,High Flow Level,0.7816523605150214
C0B0,0,High Flow Level,0.7341738197424893
C0C1,1,Medium Flow Level,2.245708154506438
C0D0,0,High Flow Level,0.5877145922746781
C1B1,2,Low Flow Level,2.6596030042918457
C1C0,0,High Flow Level,1.088519313304721
C1C2,1,Medium Flow Level,2.642703862660944
C1D1,0,High Flow Level,1.0667918454935623
C2B2,2,Low Flow Level,2.8055257510729614
C2C1,1,Medium Flow Level,2.690450643776824
C2C3,0,High Flow Level,1.1679184549356223
C2D2,0,High Flow Level,1.0332618025751072
C3B3,0,High Flow Level,0.6515557939914163
C3C2,1,Medium Flow Level,2.1290236051502145
C3D3,0,High Flow Level,0.6545064377682404
D0C0,0,High Flow Level,0.6687231759656652
D0D1,0,High Flow Level,0.6636266094420601
D1C1,2,Low Flow Level,2.4790772532188843
D1D0,0,High Flow Level,0.7019849785407726
D1D2,0,High Flow Level,0.5321888412017167
D2C2,0,High Flow Level,1.9637875536480687
D2D1,0,High Flow Level,0.7247854077253219
D2D3,0,High Flow Level,0.5673283261802575
D3C3,0,High Flow Level,0.6504828326180258
D3D2,0,High Flow Level,0.6716738197424893
