segment,cluster_id,category,avg_raw_traffic
A0A1,0,Low Traffic,0.514484979
A0B0,0,Low Traffic,0.528701717
A1A0,0,Low Traffic,0.603004292
A1A2,0,Low Traffic,0.704667382
A1B1,2,High Traffic,2.104345494
A2A1,0,Low Traffic,0.720225322
A2A3,0,Low Traffic,0.662017167
A2B2,2,High Traffic,2.201180258
A3A2,0,Low Traffic,0.705472103
A3B3,0,Low Traffic,0.60944206
B0A0,0,Low Traffic,0.534603004
B0B1,1,Medium Traffic,2.159334764
B0C0,0,Low Traffic,0.678379828
B1A1,0,Low Traffic,1.017972103
B1B0,0,Low Traffic,1.113197425
B1B2,1,Medium Traffic,2.479613734
B1C1,2,High Traffic,2.843079399
B2A2,0,Low Traffic,1.060354077
B2B1,1,Medium Traffic,2.987392704
B2B3,0,Low Traffic,1.074302575
B2C2,2,High Traffic,2.504560086
B3A3,0,Low Traffic,0.671405579
B3B2,1,Medium Traffic,1.79694206
B3C3,0,Low Traffic,0.781652361
C0B0,0,Low Traffic,0.73417382
C0C1,0,Low Traffic,2.245708155
C0D0,0,Low Traffic,0.587714592
C1B1,2,High Traffic,2.659603004
C1C0,0,Low Traffic,1.088519313
C1C2,1,Medium Traffic,2.642703863
C1D1,0,Low Traffic,1.066791845
C2B2,2,High Traffic,2.805525751
C2C1,1,Medium Traffic,2.690450644
C2C3,0,Low Traffic,1.167918455
C2D2,0,Low Traffic,1.033261803
C3B3,0,Low Traffic,0.651555794
C3C2,1,Medium Traffic,2.129023605
C3D3,0,Low Traffic,0.654506438
D0C0,0,Low Traffic,0.668723176
D0D1,0,Low Traffic,0.663626609
D1C1,2,High Traffic,2.479077253
D1D0,0,Low Traffic,0.701984979
D1D2,0,Low Traffic,0.532188841
D2C2,2,High Traffic,1.963787554
D2D1,0,Low Traffic,0.724785408
D2D3,0,Low Traffic,0.567328326
D3C3,0,Low Traffic,0.650482833
D3D2,0,Low Traffic,0.67167382
