timestep,A0A1,A0B0,A1A0,A1A2,A1B1,A2A1,A2A3,A2B2,A3A2,A3B3,B0A0,B0B1,B0C0,B1A1,B1B0,B1B2,B1C1,B2A2,B2B1,B2B3,B2C2,B3A3,B3B2,B3C3,C0B0,C0C1,C0D0,C1B1,C1C0,C1C2,C1D1,C2B2,C2C1,C2C3,C2D2,C3B3,C3C2,C3D3,D0C0,D0D1,D1C1,D1D0,D1D2,D2C2,D2D1,D2D3,D3C3,D3D2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
14,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
15,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
16,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
17,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
18,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
19,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
20,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
21,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0
22,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0
23,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0
24,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0
25,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,2,0,1,0,0
26,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,2,0,1,0,0
27,2,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,2,0,2,0,0
28,2,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,2,0,2,0,0
29,3,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,2,0,2,0,0
30,3,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0
31,3,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,2,0,2,0,0
32,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,0,2,0,2,0,0
33,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,4,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,0,2,0,2,0,0
34,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,2,0,2,0,0
35,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,4,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,2,0,1,0,0
36,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,2,0,1,1,0
37,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,3,0,0,2,0,1,1,0
38,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,3,0,0,2,0,0,1,0
39,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3,1,0,2,0,0,1,0
40,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3,2,0,2,0,0,2,0
41,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,4,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,2,3,2,0,2,0,0,2,0
42,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,2,1,2,0,4,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,2,3,2,0,2,0,0,2,0
43,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,2,1,1,0,4,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,3,2,0,2,0,0,2,0
44,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,1,2,1,1,0,4,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,2,3,2,0,2,0,0,2,0
45,0,0,0,1,5,0,0,0,0,0,3,0,0,0,1,1,2,1,1,0,4,0,0,0,0,3,0,0,0,2,0,2,0,2,0,0,0,0,0,1,3,2,0,2,0,0,1,0
46,0,0,0,2,4,0,0,0,0,0,4,0,0,0,1,1,1,1,1,0,3,0,0,0,0,3,0,0,0,2,0,1,0,2,0,0,0,0,0,1,1,2,0,0,0,0,1,0
47,0,0,0,2,5,0,0,0,0,0,4,0,0,0,1,1,1,1,1,0,3,0,0,0,0,4,0,1,0,2,0,1,0,2,0,1,0,0,0,1,1,2,0,0,0,0,1,0
48,0,0,0,2,5,0,0,0,0,0,4,0,0,0,2,1,1,1,1,0,3,0,0,0,0,4,0,1,0,2,0,1,0,2,0,1,0,0,0,0,2,1,0,0,0,0,1,0
49,0,0,0,2,5,0,0,0,0,0,4,0,0,0,2,1,0,1,1,0,3,0,0,0,0,4,0,1,0,2,1,0,1,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0
50,0,0,0,2,5,0,0,0,0,0,4,0,0,0,2,1,0,0,2,0,2,0,0,0,0,4,0,2,1,2,1,2,1,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0
51,0,0,0,2,4,0,0,0,0,0,3,0,0,0,2,1,1,1,2,0,2,0,0,0,0,4,0,2,1,2,2,2,2,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0
52,1,0,0,1,4,0,1,0,0,0,2,0,0,0,2,1,1,1,3,0,1,0,0,0,0,4,0,2,2,2,2,2,2,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0
53,2,0,0,1,3,0,1,0,0,0,2,0,1,0,1,1,2,2,3,0,1,0,0,0,0,4,0,3,2,2,2,2,2,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0
54,2,0,0,1,3,0,1,1,0,0,2,0,1,0,1,1,2,2,3,0,1,0,0,0,0,4,0,3,2,2,2,2,3,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0
55,2,0,0,0,2,0,1,1,0,0,1,0,2,0,1,1,2,2,3,0,0,0,0,0,0,4,0,3,2,2,2,3,3,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0
